,Product_name,Prices,Descriptions,Ratings
0,"Motorola G34 5G (Ocean Green, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹11,999</div>",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,4.2
1,"Motorola G34 5G (Charcoal Black, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹11,999</div>",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2
2,"Motorola G34 5G (Ice Blue, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹11,999</div>",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2
3,"POCO M6 Pro 5G (Power Black, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹9,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
4,"POCO M6 Pro 5G (Forest Green, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹9,999</div>",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
5,"POCO C65 (Matte Black, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹6,799</div>",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
6,"POCO C65 (Pastel Blue, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹6,799</div>",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
7,"POCO C65 (Pastel Green, 128 GB)","<div class=""Nx9bqj _4b5DiR"">₹6,799</div>",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2
8,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","<div class=""Nx9bqj _4b5DiR"">₹24,999</div>",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,4.5
9,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","<div class=""Nx9bqj _4b5DiR"">₹19,778</div>",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4
