,role,company_name,work_experience,location,skills,post_date
0,DATA ANALYST,Competitive Crackers,0-3 Yrs,Kakinada,"['metadata', 'python', 'data analysis', 'data management', 'data analytics', 'data validation', 'configuration', 'data mining']",Few Hours Ago
1,Data Analyst,Business Toys,0-1 Yrs,"Hyderabad, Chennai, Bengaluru","['python', 'data analysis', 'sas', 'power bi', 'business analytics', 'business acumen', 'machine learning', 'business intelligence']",1 Day Ago
2,Data Analyst(0 Experience Required),Peroptyx,0-5 Yrs,Remote,"['Data Analysis', 'Data Analytics', 'Data Mapping', 'Analysis', 'Analytics', 'Mapping', 'Data']",3 Days Ago
3,Data Analyst,Business Toys,0-5 Yrs,"Hyderabad, Pune, Bengaluru","['Data Analyst', 'Data analysis', 'Data']",4 Days Ago
4,Data Analyst,Business Toys,0-2 Yrs,"Mumbai, Navi Mumbai","['Data Analyst', 'Data', 'Data analysis']",4 Days Ago
5,Data Analyst,Business Toys,0-5 Yrs,New Delhi,"['Data Analyst', 'Data', 'Data analysis']",4 Days Ago
6,Data Analyst,Business Toys,0-5 Yrs,Pune,"['Data Analyst', 'Data', 'Data analysis']",4 Days Ago
7,Data Analyst,Business Toys,0-1 Yrs,Chennai,"['Data Analyst', 'Data analysis', 'Data']",4 Days Ago
8,Data Analyst,Business Toys,0-5 Yrs,"Mumbai, Mumbai Suburban","['Data Analyst', 'Data analysis', 'Data']",4 Days Ago
9,Data Analyst,Business Toys,0-2 Yrs,Navi Mumbai,"['Data Analyst', 'Data analysis', 'Data']",4 Days Ago
10,Data Analyst,Business Toys,0-1 Yrs,New Delhi,"['Data Analyst', 'Data', 'Data analysis']",4 Days Ago
11,Apprentice-Data Analyst,Business Toys,0-1 Yrs,Gurugram,"['Data Analyst', 'Data', 'Data analysis']",4 Days Ago
12,Data Analyst,Outscal Technologies,0-3 Yrs,Remote,"['Data Visualization', 'Tableau', 'Python', 'SQL', 'Data Science', 'Data Analysis', 'Science', 'Analysis']",2 Days Ago
